title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Mob Psycho 100,2016,2019,"Animation, Action, Comedy","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",8.6,19553,24,"Setsuo Ito, Takahiro Sakurai, Akio Ôtsuka, Miyu Irino"
3Below: Tales of Arcadia,2018,2019,"Animation, Action, Adventure",A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,7.7,5095,24,"Tatiana Maslany, Diego Luna, Nick Offerman, Frank Welker"
The Amazing World of Gumball,2011,2019,"Animation, Adventure, Comedy",The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.,8.2,24448,11,"Dan Russell, Teresa Gallagher, Kerry Shale, Kyla Rae Kowalewski"
Miss Fisher's Murder Mysteries,2012,2015,"Crime, Drama, Mystery","A female sleuth sashays through the back lanes and jazz clubs of Melbourne in the late 1920s, fighting injustice with her pearl-handled pistol and her dagger-sharp wit.",8.3,14457,60,"Essie Davis, Nathan Page, Hugo Johnstone-Burt, Ashleigh Cummings"
Julie and the Phantoms,2020,Ongoing,"Comedy, Drama, Family","Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to be.",8.5,7576,30,"Madison Reyes, Charlie Gillespie, Owen Joyner, Jeremy Shada"
Utopia,2013,2014,"Drama, Mystery, Sci-Fi","After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'.",8.4,43067,50,"Adeel Akhtar, Paul Higgins, Neil Maskell, Fiona O'Shaughnessy"
F Is for Family,2015,Ongoing,"Animation, Comedy, Drama","Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",8.0,31263,30,"Bill Burr, Laura Dern, Justin Long, Debi Derryberry"
Salvation,2017,2018,"Drama, Sci-Fi, Thriller",An MIT grad student and a tech superstar bring a low-level Pentagon official a staggering discovery--that an asteroid is just six months away from colliding with Earth.,7.0,19954,43,"Santiago Cabrera, Jennifer Finnigan, Charlie Rowe, Jacqueline Byers"
The A List,2018,Ongoing,"Crime, Drama, Mystery","Mia arrives at an idyllic summer camp expecting to be Queen Bee, but the ""holiday of a lifetime"" turns into a twisted nightmare.",5.5,2333,25,"Lisa Ambalavanar, Ellie Duckles, Rosie Dwyer, Jack Kane"
The Sandman,2021,Ongoing,"Action, Adventure, Drama","Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",,,,"Vivienne Acheampong, Sanjeev Bhaskar, Asim Chaudhry, Gwendoline Christie"
Bad Blood,2017,Ongoing,"Crime, Drama",A dramatization of the life and death of Montreal mob boss Vito Rizzuto.,7.5,8238,47,"Kim Coates, Louis Ferreira, Sharon Taylor, Melanie Scrofano"
Dark Desire,2020,Ongoing,"Drama, Mystery, Thriller","Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy, and leads her to question the truth about those close to her.",6.4,4317,30,"Maite Perroni, Erik Hayser, Jorge Poza, María Fernanda Yepes"
Sorjonen,2016,2020,"Crime, Drama, Mystery","Quirky police detective, in Finland, delves into his mind palace to solve despicable crimes all the while trying to keep his family together. If Sherlock was based in Finland this would be it.",7.6,8460,60,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi"
Formula 1: Drive to Survive,2019,Ongoing,"Documentary, Sport",Docuseries following the FIA Formula One World Championship across multiple seasons.,8.6,26266,40,"Valtteri Bottas, Will Buxton, Pierre Gasly, Lewis Hamilton"
Blue Mountain State,2010,2011,"Comedy, Sport","Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.",8.3,49898,22,"Darin Brooks, Alan Ritchson, Chris Romano, Ed Marinaro"
Dokutaa Sutoon,2019,Ongoing,"Animation, Action, Adventure","Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.",8.2,13258,23,"Yûsuke Kobayashi, Manami Numakura, Gen Satô, Ayumu Murase"
Knightfall,2017,2019,"Action, Adventure, Drama",A look at the final days of the Knights Templar during the 14th century.,6.8,17970,60,"Tom Cullen, Pádraic Delaney, Simon Merrells, Julian Ovenden"
On My Block,2018,Ongoing,"Comedy, Drama","A coming-of-age story about four bright, street-savvy friends navigating their way through high school in the gritty inner city of South Central Los Angeles. Dealing with the danger of getting their friend out of a gang and friends turning into romance, danger is constant.",8.0,12097,30,"Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco"
Ófærð,2015,Ongoing,"Crime, Drama, Mystery","In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.",8.1,17309,60,"Ólafur Darri Ólafsson, Ilmur Kristjánsdóttir, Ingvar Sigurdsson, Elva María Birgisdóttir"
Roman Empire,2016,Ongoing,"Documentary, Biography, Drama",Chronicles some of the most famous leaders of the Roman Civilization.,7.0,6536,48,"Aaron Irvin, Corey Brennan, Jerry Toner, Steve West"
The Chair,2021,Ongoing,"Comedy, Drama","At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.",,,30,"Bob Balaban, Everly Carganilla, Ron Crawford, Marcia DeBonis"
Torchwood,2006,2011,"Action, Drama, Mystery","The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats.",7.7,39266,50,"John Barrowman, Eve Myles, Kai Owen, Gareth David-Lloyd"
Jurassic World: Camp Cretaceous,2020,Ongoing,"Animation, Action, Adventure",Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,7.5,5414,24,"Paul-Mikél Williams, Kausar Mohammed, Jenna Ortega, Ryan Potter"
Zone Blanche,2017,Ongoing,"Crime, Drama, Horror",A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.,7.5,8771,52,"Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy"
Glitch,2015,2019,"Drama, Horror, Sci-Fi",Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,7.3,15882,45,"Patrick Brammall, Emma Booth, Sean Keenan, Hannah Monson"
Algoissjiman,2021,Ongoing,"Drama, Romance",The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,7.7,472,70,"So-hee Han, Song Kang, Han Eu-Ddeum, Lee Ho-jung"
Sacred Games,2018,2019,"Action, Crime, Drama","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",8.6,80715,50,"Saif Ali Khan, Nawazuddin Siddiqui, Neeraj Kabi, Elnaaz Norouzi"
Happy!,2017,2019,"Action, Comedy, Crime",An injured hitman befriends his kidnapped daughter's imaginary friend - a perky blue flying unicorn.,8.2,35020,60,"Christopher Meloni, Ritchie Coster, Lili Mirojnick, Patton Oswalt"
Generazione 56K,2021,Ongoing,"Comedy, Drama, Romance","Told from two points of view, a couple begins dating during the era of the 56K modem and navigates their relationship over the next two decades.",7.4,1200,30,"Cristina Cappelli, Azzurra Iacone, Angelo Spagnoletti, Alfredo Cerrone"
Staged,2020,2021,"Comedy, Drama","David Tennant and Michael Sheen star as two actors whose West End play has been put on hold due to Covid-19, but whose director has persuaded them to carry on rehearsing online.",8.6,5037,22,"Michael Sheen, David Tennant, Georgia Tennant, Anna Lundberg"
Control Z,2020,Ongoing,"Drama, Thriller","When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",6.9,5710,37,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zión Moreno"
Trinkets,2019,2020,"Comedy, Crime, Drama",An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.,7.1,8312,30,"Brianna Hildebrand, Kiana Madeira, Quintessa Swindell, Odiseas Georgiadis"
Criminal: UK,2019,Ongoing,"Crime, Drama, Thriller","A cat-and-mouse drama, which focuses on the intense mental conflict between detectives and suspects. The stories take place within the confines of a police interview suite.",7.6,15941,43,"Katherine Kelly, Lee Ingleby, Rochenda Sandall, Shubham Saraf"
Shigatsu wa kimi no uso,2014,2015,"Animation, Drama, Music",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,8.6,21095,23,"Natsuki Hanae, Risa Taneda, Ayane Sakura, Ryôta Ôsaka"
Hannah Montana,2006,2011,"Comedy, Family, Music",Adventures of a teenage pop star who keeps her identity secret from even her closest friends by using a disguise on-stage.,5.2,38015,23,"Miley Cyrus, Emily Osment, Jason Earles, Billy Ray Cyrus"
One Day at a Time,2017,2020,"Comedy, Drama","Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother.",8.2,14209,30,"Justina Machado, Todd Grinnell, Isabella Gomez, Marcel Ruiz"
Easy,2016,Ongoing,Comedy,"Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.",6.9,12779,30,"Michael Chernus, Jane Adams, Elizabeth Reaser, Jacqueline Toboni"
Man Like Mobeen,2017,Ongoing,Comedy,"Mobeen is a 28 year old Brummie Muslim single handedly raising his 15 year old sister. This show documents the struggles of his criminal past, the friendships he has and the controversies he faces as a Pakistani Muslim.",8.0,1996,21,"Guz Khan, Tez Ilyas, Dúaa Karim, Tolu Ogunmefun"
Shtisel,2013,Ongoing,Drama,"The life of the Shtisel family, a haredi family in Jerusalem.",8.6,5881,45,"Doval'e Glickman, Michael Aloni, Neta Riskin, Shira Haas"
The Dragon Prince,2018,Ongoing,"Animation, Adventure, Drama","Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.",8.4,18512,26,"Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson"
Tribes of Europa,2021,Ongoing,"Action, Adventure, Drama","2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths.",6.8,10043,47,"Henriette Confurius, Emilio Sakraya, David Ali Rashed, Melika Foroutan"
Deadly Class,2018,2019,"Action, Adventure, Comedy","A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.",7.6,15025,60,"Benedict Wong, Benjamin Wadsworth, Lana Condor, María Gabriela de Faría"
Borgen,2010,Ongoing,Drama,"A political drama about a prime minister's rise to power, and how power changes a prime minister.",8.5,21123,58,"Sidse Babett Knudsen, Birgitte Hjort Sørensen, Freja Riemann, Søren Malling"
Secret City,2016,2019,"Mystery, Thriller","Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.",7.4,7001,49,"Anna Torv, Marcus Graham, Justin Smith, Aleks Mikic"
Tuca & Bertie,2019,2021,"Animation, Comedy",The story of two 30-year old bird women who live in the same apartment building.,7.4,5730,26,"Tiffany Haddish, Ali Wong, Steven Yeun, Nicole Byer"
Mako Mermaids,2013,2016,"Adventure, Comedy, Drama","A young man is magically turned a merman, and discovers his underwater origins, after he comes in contact with the magic waters at the mysterious Mako Island guarded by a trio of mermaids.",6.8,3445,30,"Chai Hansen, Dominic Deutscher, Gemma Forsyth, Rowan Hills"
Wanted,2016,2018,"Action, Crime, Drama",Two strangers are prime suspects in a murder.,7.7,5050,60,"Rebecca Gibney, Geraldine Hakewill, Anthony Phelan, Nicholas Bell"
El Chapo,2017,Ongoing,"Biography, Crime, Drama","A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016.",7.8,16037,43,"Marco de la O, Humberto Busto, Diego Vásquez, Juan Carlos Cruz"
Cuckoo,2012,Ongoing,Comedy,"Cuckoo is every parent's worst nightmare - a slacker full of outlandish, New Age ideas.",7.2,8399,30,"Greg Davies, Helen Baxendale, Tyger Drew-Honey, Kenneth Collard"
Peppa Pig,2004,Ongoing,"Animation, Adventure, Comedy",A little pig named Peppa and her little brother George have journeys everyday with their family and friends.,6.2,4125,9,"John Sparkes, Morwenna Banks, Richard Ridings, Oliver May"
Close Enough,2020,Ongoing,"Animation, Comedy, Drama",A comedic look on a couple facing various challenges in their daily lives while trying to cope with their changes from twenties to thirties.,7.8,6457,23,"J.G. Quintel, Gabrielle Walsh, Jason Mantzoukas, Kimiko Glenn"
The Rain,2018,2020,"Drama, Sci-Fi, Thriller","After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.",6.3,32861,45,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken"
Still Game,2002,2019,Comedy,"Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow.",8.8,6624,30,"Ford Kiernan, Greg Hemphill, Paul Riley, Gavin Mitchell"
Valeria,2020,Ongoing,"Comedy, Drama, Romance","Valeria is a writer who's hit a dead end with both her writing and her husband. She finds solace in her three friends Carmen, Lola and Nerea.",6.2,3229,47,"Diana Gómez, Silma López, Paula Malia, Teresa Riott"
The Musketeers,2014,2016,"Adventure, Drama","Set on the streets of 17th-century Paris, ""The Musketeers"" gives a contemporary take on the classic story about a group of highly trained soldiers and bodyguards assigned to protect King and country.",7.8,21223,55,"Luke Pasqualino, Tom Burke, Santiago Cabrera, Howard Charles"
Hit and Run,2021,Ongoing,"Action, Crime, Drama",A happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv.,,,,"Lior Raz, Kaelen Ohm, Moran Rosenblatt, Gregg Henry"
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,2019,Ongoing,"Animation, Comedy, Romance",The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,8.4,6665,24,"Aoi Koga, Makoto Furukawa, Konomi Kohara, Yutaka Aoyama"
The English Game,2020,Ongoing,"Drama, History, Sport",The story of the invention of football and how it quickly rose to become the world's most popular game by crossing class divides.,7.6,12846,,"Edward Holcroft, Kevin Guthrie, Charlotte Hope, Niamh Walsh"
Sseulsseulhago Chalranhashin: Dokkaebi,2016,2017,"Comedy, Drama, Fantasy","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.",8.6,14034,60,"Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na"
The Thundermans,2013,2018,"Action, Comedy, Drama","These siblings with superpowers might be twins, but they are very different indeed.",5.8,4055,23,"Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez"
Black Space,2020,Ongoing,"Crime, Drama, Thriller",An ordinary morning at a small-town High School turns into a nightmare when anonymous figures in masks have committed a massacre leaving four dead students.,6.8,1074,45,"Guri Alfi, Assi Levy, Reut Alush, Shai Avivi"
Salem,2014,2017,"Drama, Fantasy, Horror",Supernatural horror loosely based on Salem's 17th century witch trials.,7.2,22579,60,"Janet Montgomery, Shane West, Seth Gabel, Tamzin Merchant"
Teen Titans Go!,2013,Ongoing,"Animation, Action, Adventure","Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?",5.4,18481,10,"Scott Menville, Greg Cipes, Khary Payton, Hynden Walch"
Trese,2021,Ongoing,"Animation, Action, Adventure","Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings.",7.1,2521,33,"Shay Mitchell, Carlos Alazraqui, Eric Bauza, Steve Blum"
Seulgiroun Euisasaenghal,2020,2021,"Comedy, Drama",Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,8.7,2903,84,"Jo Jung-Suk, Yoo Yeon-Seok, Jung Kyung-ho, Dae-Myung Kim"
Norsemen,2016,2020,Comedy,Viking life at the close of the 8th century.,7.8,15751,30,"Kåre Conradi, Nils Jørgen Kaalstad, Jon Øigarden, Bjørn Myrene"
The Valhalla Murders,2019,2020,"Crime, Drama, Mystery",Police profiler Arnar is sent back home from Oslo to his native Iceland to investigate the country's first serial killer case. He teams up with the local senior cop Kata.,7.1,10077,50,"Aldís Amah Hamilton, Bergur Ebbi Benediktsson, Edda Björgvinsdóttir, Gunnar Bersi Björnsson"
The Suite Life of Zack & Cody,2005,2008,"Comedy, Family",Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel.,6.5,33934,30,"Cole Sprouse, Dylan Sprouse, Brenda Song, Ashley Tisdale"
My Little Pony: Friendship Is Magic,2010,2020,"Animation, Adventure, Comedy","After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends.",7.6,19523,22,"Ashleigh Ball, Tara Strong, Tabitha St. Germain, Andrea Libman"
Fresh Meat,2011,2016,"Comedy, Drama","A comedy that follows a group of six students about to embark on the most exciting period of their lives so far, university.",7.8,16355,50,"Zawe Ashton, Greg McHugh, Kimberley Nixon, Charlotte Ritchie"
The War Next-Door,2021,Ongoing,Comedy,"After an incident in which Leonor, poor in cash but rich in love, is able to walk away with the tickets for the raffle of a house, her and her family’s life will turn around when she unexpectedly wins.",5.8,228,,"Olivia Castanho, Daniel Hall, Allegra Levy, Sarah Nichols"
Continuum,2012,2015,"Action, Sci-Fi, Thriller",A detective from the year 2077 finds herself trapped in present-day Vancouver and searching for ruthless criminals from the future.,7.6,58762,45,"Rachel Nichols, Victor Webster, Erik Knudsen, Stephen Lobo"
Blood of Zeus,2020,Ongoing,"Animation, Action, Fantasy","A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.",7.5,14272,30,"Derek Phillips, Jason O'Mara, Jessica Henwick, Claudia Christian"
Fawlty Towers,1975,1979,Comedy,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",8.7,87386,30,"John Cleese, Prunella Scales, Andrew Sachs, Connie Booth"
Flowers,2016,2018,"Comedy, Drama",Dark comedy about the eccentric members of the Flowers family. Maurice and Deborah are barely together but yet to divorce. They live with Maurice's batty mother and their maladjusted twin children.,8.2,4751,30,"Sophia Di Martino, Olivia Colman, Julian Barratt, Daniel Rigby"
Dota: Dragon's Blood,2021,Ongoing,"Animation, Action, Adventure","After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.",8.0,11971,25,"Yuri Lowenthal, Lara Pulver, Dee Bradley Baker, Freya Tingley"
Snabba Cash,2021,Ongoing,"Action, Crime, Drama","The entrepreneurial jet set as well as the criminal world is more brutal, chaotic and ruthless than ever. When these two worlds collide, loyalty, friendships and business partners will all be tested in the never-ending quest for easy money.",7.6,6551,52,"Evin Ahmad, Alexander Abdallah, Ayaan Ahmed, Ali Alarik"
3%,2016,2020,"Action, Drama, Sci-Fi","A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.",7.4,22943,49,"Bianca Comparato, Vaneza Oliveira, Rodolfo Valente, Zezé Motta"
Man Down,2013,2017,Comedy,A deadbeat drama teacher gets a wake-up call when his girlfriend leaves him.,7.6,3520,30,"Greg Davies, Roisin Conaty, Mike Wozniak, Gwyneth Powell"
The Unicorn,2019,2021,"Comedy, Drama, Family","A widower is eager to move on from the most difficult year of his life, only to realize he's utterly unprepared to raise his two daughters on his own and equally unprepared for the dating world where he's suddenly a hot commodity.",7.2,3689,22,"Walton Goggins, Rob Corddry, Omar Benson Miller, Maya Lynne Robinson"
The Protector,2018,2020,"Action, Fantasy, Sci-Fi","Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.",6.7,32936,40,"Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Burçin Terzioglu"
The One,2021,Ongoing,"Crime, Drama, Sci-Fi","Love -- and lies -- spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",6.6,10810,,"Hannah Ware, Dimitri Leonidas, Diarmaid Murtagh, Zoë Tapper"
Las chicas del cable,2017,2020,Drama,"Set in the 1920s, this is the story of four women from different backgrounds newly hired as operators for a phone company.",7.6,12876,50,"Blanca Suárez, Yon González, Ana Fernández, Nadia de Santiago"
Living with Yourself,2019,Ongoing,"Comedy, Drama, Sci-Fi","An existential comedy about a man struggling in life who undergoes a new treatment to become a better person, only to find that he's been replaced by a new and improved version of himself.",7.2,27102,26,"Paul Rudd, Aisling Bea, Desmin Borges, Karen Pittman"
Cocomelon,2019,Ongoing,"Animation, Comedy, Family","In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",4.5,273,,"Hannah An, Alice Cho, Ava Madison Gray, Kristen Princiotta"
Bungou Stray Dogs,2016,Ongoing,"Animation, Action, Comedy","Nakajima Atsushi was kicked out of his orphanage, and now he has no place to go and no food. While he is standing by a river, on the brink of starvation, he rescues a man whimsically ...",7.8,3754,24,"Mamoru Miyano, Yûto Uemura, Kaiji Tang, Yoshimasa Hosoya"
Ridley Jones,2021,Ongoing,"Animation, Adventure, Comedy",Curious kid Ridley and her friends protect the Museum of Natural History's treasures and keep its magical secret safe: Everything comes alive at night.,4.8,108,27,"David Errigo Jr., Sutton Foster, Ashlyn Madden, Ezra Menas"
Suburra - La serie,2017,2020,"Action, Crime","In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",7.9,12933,50,"Alessandro Borghi, Giacomo Ferrara, Filippo Nigro, Carlotta Antonelli"
Fire Force,2019,Ongoing,"Animation, Action, Drama",A superhuman firefighter force is formed to deal with supernatural fire incidents.,7.7,4529,23,"Gakuto Kajiwara, Kazuya Nakai, Christopher Wehkamp, Yûsuke Kobayashi"
Bonding,2018,2021,"Comedy, Drama",A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,7.2,14488,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman"
Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,2018,Ongoing,"Animation, Drama, Fantasy","The seemingly normal life of Sakuta Azusagawa, a high school student changes drastically when he meets a wild bunny girl that seems to be invisible to others.",8.2,6463,24,"Kaito Ishikawa, Asami Seto, Yurika Kubo, Atsumi Tanezaki"
The Daily Life of the Immortal King,2020,Ongoing,"Animation, Adventure","Wang Ling is a near-invincible existence with powers far beyond his control. But now that he's sixteen, he faces his greatest battle yet - Senior High School.",7.4,559,18,"Qian Chen, Gu Jiangshan, Lulu, Zhao Shuang"
Making a Murderer,2015,2018,"Documentary, Crime","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",8.6,89223,60,"Steven Avery, Dolores Avery, Laura Nirider, Allan Avery"
Bimilui Soop,2017,Ongoing,"Crime, Drama, Mystery","With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption.",8.6,6339,60,"Cho Seung-woo, Bae Doona, Lee Joon-hyuk, Jeon Bae-soo"
Tate no Yuusha no Nariagari,2019,Ongoing,"Animation, Action, Adventure","Stories of old tell of four otherworldly heroes - wielding the sword, spear, bow, and shield - who defended the land from wave after wave of calamity. With the fate of the world in balance,...",8.1,8129,24,"Kaito Ishikawa, Asami Seto, Billy Kametz, Robbie Friedman"
Kara Para Ask,2014,2015,"Action, Crime, Drama","Omar is a police officer. After the death of his fiancé he suffers great pain. Sibel, Omar's fiancée's body was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and the accusations of his love cheating on him, Omar realizes that there is more behind her suspicious murder.",7.3,5300,90,"Engin Akyürek, Tuba Büyüküstün, Erkan Can, Damla Colbay"
Shadowplay,2020,Ongoing,"Drama, Thriller",Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.,6.5,1072,45,"Taylor Kitsch, Michael C. Hall, Logan Marshall-Green, Nina Hoss"
Selena: The Series,2020,2021,"Biography, Drama, Music","Late Tejano singer Selena as her dreams come true, and her family makes life-changing choices on the singer's journey to success.",6.8,3948,40,"Christian Serratos, Gabriel Chavarria, Ricardo Chavira, Noemi Gonzalez"
Tiny Pretty Things,2020,Ongoing,"Drama, Mystery, Thriller","Follows the world of an elite ballet academy, and charts the rise and fall of young adults who live far from their homes, each standing on the verge of greatness or ruin.",5.9,8033,60,"Kylie Jefferson, Lauren Holly, Casimere Jollette, Brennan Clost"
Baki,2018,2020,"Animation, Action, Drama","The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world.",6.7,4329,45,"Tôru Furuya, Kirk Thornton, Troy Baker, Nobunaga Shimazaki"
Sexify,2021,Ongoing,"Comedy, Drama","To build an innovative sex app and win a tech competition, a sexually inexperienced student and her friends must explore the daunting world of intimacy.",6.5,4053,40,"Aleksandra Skraba, Maria Sobocinska, Sandra Drzymalska, Piotr Pacek"
Paradise PD,2018,Ongoing,"Animation, Action, Comedy","Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",6.9,15799,28,"Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane"
Selling Sunset,2019,Ongoing,Reality-TV,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,6.3,3693,30,"Mary Fitzgerald, Chrishell Stause, Brett Oppenheim, Jason Oppenheim"
Greenleaf,2016,2020,Drama,"The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, dark secrets and lies.",7.4,4624,60,"Merle Dandridge, Kim Hawthorne, Desiree Ross, Lamman Rucker"
Raising Dion,2019,Ongoing,"Drama, Sci-Fi",A widowed single mom discovers that her son has super powers and tries to figure out how to raise him safely and responsibly.,7.2,9560,50,"Alisha Wainwright, Ja'Siah Young, Ali Ahn, Gavin Munn"
Family Reunion,2019,Ongoing,Comedy,"When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.",6.6,2049,28,"Talia Jackson, Tia Mowry-Hardrict, Anthony Alabi, Loretta Devine"
Kakegurui,2017,Ongoing,"Animation, Drama, Mystery",A gambling prodigy comes to an elite school run by games and turns the order upside down.,7.2,6269,24,"Saori Hayami, Tatsuya Tokutake, Miyuki Sawashiro, Minami Tanaka"
Friends from College,2017,2019,"Comedy, Drama","Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.",6.9,19088,30,"Keegan-Michael Key, Cobie Smulders, Annie Parisse, Nat Faxon"
Limitless,2015,2016,"Comedy, Crime, Drama",An average twenty-eight-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the F.B.I. as a consultant.,7.7,63498,42,"Jake McDorman, Jennifer Carpenter, Hill Harper, Mary Elizabeth Mastrantonio"
Alexa & Katie,2018,2020,"Comedy, Drama",Lifelong best friends Alexa Mendoza and Katie Cooper are anticipating the start of their freshman year of high school. They confront a crisis that leaves them feeling like outsiders at a time when fitting in is what seems to matter most.,7.5,3660,25,"Paris Berelc, Isabel May, Jolie Jenkins, Emery Kelly"
Goosebumps,1995,1998,"Family, Fantasy, Horror",A series of scary anthology stories based on the children's books by R.L. Stine. Series one was hosted by R.L. Stine.,7.7,12427,22,"R.L. Stine, Kathryn Short, Cody Jones, Scott Wickware"
